name,description,price,stock,category
Standard Conga Audio-Technica,O Standard Conga Audio-Technica oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,3699.0,29,percussão
Taylor Compacto Workstation,Taylor Compacto Workstation - Uma seleção de vozes premium e acompanimentos automáticos para inspirar sua criatividade musical.,8070.0,48,teclas
Sennheiser Palheta Deluxe,"Sennheiser Palheta Deluxe - Acessório essencial para músicos, oferecendo confiabilidade e desempenho superior em todas as situações.",600.0,21,acessórios
Sabian Vibrafone Limited,Sabian Vibrafone Limited - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,6079.0,18,percussão
Korg Controlador MIDI Analógico,Desfrute da versatilidade do Korg Controlador MIDI Analógico. Interface intuitiva e conectividade completa para integração com DAWs.,9769.0,28,teclas
Elétrico Tambor Behringer,O Elétrico Tambor Behringer oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,810.0,25,percussão
Fender Case Vintage,Melhore sua experiência musical com o Fender Case Vintage. Design funcional e materiais premium para resultados profissionais.,70.0,32,acessórios
Taylor Elétrico Flauta,O Taylor Elétrico Flauta proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,7109.0,24,sopro
Estúdio Tuba Nord,O Estúdio Tuba Nord proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,4360.0,2,sopro
Tambor Martin Custom,Experimente a qualidade do Tambor Martin Custom. Acabamento premium e sonoridade excepcional para todas as aplicações.,4009.0,25,percussão
Taylor Deluxe Gaita,O Taylor Deluxe Gaita proporciona resposta precisa e entonação perfeita. Construído com materiais de alta qualidade para durabilidade.,7160.0,35,sopro
Sabian Baqueta Elétrico,O Sabian Baqueta Elétrico é fabricado com materiais de alta qualidade para durabilidade e desempenho excepcional.,59.0,23,acessórios
Korg Monitor de Áudio Acústico,Desfrute da qualidade de áudio do Korg Monitor de Áudio Acústico. Design inovador e tecnologia de ponta para resultados superiores.,6170.0,3,áudio
Sennheiser Limited Banjo,Sennheiser Limited Banjo - Perfeito para performances ao vivo e gravações em estúdio. Construção robusta e acabamento impecável.,819.0,0,cordas
Mapex Clássico Caixa de Som,Mapex Clássico Caixa de Som - Equipamento de áudio profissional com recursos avançados e construção robusta para uso intensivo.,5490.0,1,áudio
Gibson Atabaque Limited,O Gibson Atabaque Limited oferece projeção poderosa e tons bem definidos. Hardware resistente para performances intensas.,5890.0,0,percussão
Bateria Kawai Vintage,Experimente a qualidade do Bateria Kawai Vintage. Acabamento premium e sonoridade excepcional para todas as aplicações.,6470.0,19,percussão
Bongô Tama Acústico,Bongô Tama Acústico - Conjunto de percussão com excelente resposta e durabilidade. Perfect para estúdio e palco.,1130.0,20,percussão
